type,title,description,qualifications,postedQuarter,postedDate,is_suitable
Full Time,111 ft Associate Product Development Specialist,"Multisorb Technologies, Inc. is the world leader in active packaging solutions.  Revolutionary products, impeccably trained employees and effective business principles have guided us since our inception.  The company has set industry standards, pioneered innovative ways of thinking about sorbent technology, introduced products that have changed the face of the industry and remained the ideal source for preserving the integrity of packaged products.  We currently have the following opportunity:

As Associate Product Development Specialist, you will be responsible for coordinating product development and test programs and working with pharmaceutical and healthcare customers on the application of current product and packaging technologies.  Specific responsibilities include:
Assists with the design of new products and associated processes including failure modes analysis and control plans.
Assist in establishing a capability for product and materials testing, analysis and evaluation, including appropriate laboratory facilities and test equipment; define test programs and procedures for R&D programs.  Assist with performing said methods.
In conjunction with R&D and sales, prepares cost models for new products; supports transition from prototype to production; conducts validation of new processes including equipment and materials to ensure specifications are met
Interface with customers in support of sales opportunities to establish a clear understanding of the customers; problems, and to advise them in the proper application of Multisorb;s products.
Works with Natural Work Teams to facilitate improvements in production capacity and increase efficiency and eliminate material and labor variances.
Assist R&D and Manufacturing Engineering with creating engineering documentation including drawings, manufacturing standards, QWIs, and machine programs.
Assure that adequate records/documentation of technical information, formulas, process methods and standards are maintained.  Support patent action and cooperate with patent counsel in obtaining patent protection for Multisorb;s unique processes and products.
Interfaces with customers and suppliers on new and existing products and processes


To qualify, you must have a bachelor;s degree in Chemistry, Biology or Packaging Science or Engineering with a focus on pharmaceutical or healthcare packaging.  A minimum of 3 -  5 years experience in packaging development or product development within the pharmaceutical industry required.  Knowledge of pharmaceutical formulation, stability, packaging materials, and packaging techniques required.  Familiarity with the operation of various laboratory equipment including headspace analyzers, pH meters, conductivity meters, and bench top mixing equipment desired.  Ability to interact with customers is essential.  Must be able to manage multiple projects simultaneously.  

We offer an attractive salary and benefits package and an environment that encourages professional growth. For consideration, please apply on-line at www.multisorb.com/careers.

An equal opportunity employer.",,1/15/55,8/31/11,1
Full Time,064 ft Assistant Branch Manager,"Reliant Community Credit Union is seeking an Assistant Branch Manager. This position is responsible for assisting with the organizing, planning, and directing the operation of a full service branch to ensure high level of quality service is provided to members with a focus on internal and external business development.  

Applicants should possess demonstrated teamwork and staff-development skills along with 3+ years of progressively responsible work history in a financial services company.  Reliant Community Credit Union is a $240 million asset size community chartered credit union servicing Wayne, Ontario, and Monroe counties. We offer an excellent work environment and benefits package. For consideration, please submit a letter of interest and resume to Human Resources, Reliant Community Credit Union, PO Box 40, Sodus, NY  14551 or email them to dbaker@reliantcu.com.  

Reliant Community Credit Union is an Equal Opportunity Employer.",,12/6/54,5/30/07,1
Full Time,Python Developer,"Developers at Tablet have a passion for knowledge that makes them lift the hood, get their hands dirty, and figure out how things really work. Tire kickers need not apply. Combine that passion with a strong taste for simplicity, and youre our perfect candidate. Youll apply those skills to solve real business problems, not mere technical puzzles.

Tablet was founded in 2000 by Laurent Vernhes and Michael Davis, a pair of new-media veterans in search of a cure for boring travel and an antidote to the internets most common affliction: an overdose of options. And through years of self-financed growth, Tablet has established a truly independent and solid base from which to embark on new adventures.

Our New York office doubled in size in 2011, due to a compelling mission, a lot of hard work, and an extremely talented team. Our learning culture focuses on continuous improvement and innovation, and our flat company structure provides easy access to any level of management.

Users trust our taste and are passionate about Tablet. We do the research, selecting only the most interesting hotels worldwide, and make booking them as effortless as it can be.

Today, Tablet is a world leader in the fastest growing niche in online travel  itself the biggest e-commerce segment  and looking to shake it up in spectacular fashion!  We aim to create the best travel website and apps in the world.  We are addicted to change. We have the vision and drive to make it happen.

Position Summary

Work with a top-flight development team to create innovative, high-performance, scalable, maintainable, intuitive, and beautiful functionality for the next generation of travel sites.  Create the best online travel site the world has ever seen.

Compensation

Smart colleagues, collaborative environment, startup culture.
Mentoring from extremely knowledgeable developers.
Competitive salary, health benefits, 401k.
Career growth opportunity.","Requirements

Solid applied knowledge of Python.
Experience with both compiled and interpreted languages:
C, C++, Perl, Shell, AWK, Lisp, Haskell, Erlang, Lua, 
Adept at the UNIX/Linux command line.
Bachelors degree in computer science degree or equivalent experience.

Good to Have

Experience with several programming languages.
Knowledge of git, ucspi-tcp, daemontools, Trac.
Experience with socket-layer programming.
Open source contributions.
Exposure to extreme programming, lean software development, Kanban.",1/24/55,4/17/12,1
Full Time,Fulltime - Tax Analyst,"Join the income tax compliance team in a growing tax department at the Rochester, NY corporate headquarters of a multinational company. This position offers the chance to learn and develop tax skills as part of a team of tax professionals. Candidates should be looking for an opportunity to be challenged and grow. This position requires a motivated self-starter with the ability to produce high-quality and accurate work products on a time-dependent schedule. Carestream offers a highly competitive compensation package commensurate with experience.

Position Responsibilities: 
 Assist with preparation of quarterly and annual tax provision work papers, memos, and other supporting documentation U. S. provision.
 Prepare estimated tax payments, extension requests, and income tax returns for federal (including international components), state, and local jurisdictions.
 Identify opportunities and procedures to implement improvements in the tax compliance process.
 Assist with federal, state, and foreign tax planning and tax research projects, including tax basis calculations and projections.
 Assist tax seniors/managers with requests from external auditors as well as responses to audit inquiries from tax authorities.
 Keep up to date on tax legislative changes and incorporate into assigned work.
 Work with more experienced team members to ensure proper technical understanding of department;s goals and methodologies.

Knowledge and Skills: 
 Proficiency in MS Excel and Word is required
 Team oriented and dedicated professional with strong analytical and communication skills 
 Ability to identify issues and offer creative solutions to improve processes 
 Strong project management/multi-tasking skills
 Strong commitment to tight deadlines
 Strong quantitative and qualitative analysis skills; able to take large volumes of complex information and present it in a clear and concise manner to supervisor and other constituents
 Ability to take ownership of assigned projects and work independently with appropriate guidance
 Hands on experience with OneSource Tax Software, SAP, and/or BP&C is a plus","Experience Requirements: 

 Bachelor;s degree in accounting is required
 1 - 3 years experience with Big Four; accounting firm, large regional accounting firm, or multinational corporate tax department is preferred 
 CPA license and/or advanced degree (MST) is a plus",2/21/55,11/12/14,1
Full Time,Fund Reporting Manager - Lincoln Financial Group,"Review annual/semi-annual/quarterly audit schedules, financial statements and portfolio holdings list prepared by staff 
 Review financial information for Prospectus and SAI updates 
 Preparation of tax distributions and tax returns 
 Review Book vs Tax accounting differences for tax returns 
 Assist in preparation and or review year end fund tax information for shareholders 
 Interact with various personnel within Investment Accounting, Portfolio Management, Tax Department, and Legal/Compliance 
 Review daily pricing of securities to external sources review and verify certain tolerances over specified thresholds on a rotation basis 
 Interact with external auditors 
 Review Wash Sales report 
 Research security information using Bloomberg 
 Review monthly reporting requirements for leverage testing 
 Train, develop, coach and evaluate staff 
 Maintain and create policies and procedures and internal controls 
 Delegate and manage workflow to meet deadlines 
 Maintain and enhance staff morale 
 Work with human resources on staffing and hiring issues 
 Work with upper-management to coordinate department projects 
 Download Financial Statement Program information","Bachelors Degree in Accounting or Finance 
 Ability to prioritize multiple responsibilities 
 Computer proficiency in Word and Excel 
 Meets minimum knowledge/skills of Supervisor 
 Ability to work independently and as part of a team 
 Exceptional organizational skills and work ethic 
 Detail oriented/ability to scrutinize report statements on a line by line basis 
 Ability to adapt to any new regulatory requirements 
 Excellent interpersonal and communication skills",12/4/54,12/22/06,1
Full Time,101 ft Computer Engineer,"Job_Description2: Using broad information systems (IS) architectural principles, recognizes the need for and generates new IS engineering theories and develops highly complex IS design and operations guidance, documents and policies. This includes the development of Service-wide information systems standards.  Initiates, directs, or conducts engineering or information systems studies which require broad expertise across engineering/information systems disciplines. 
Leads projects to design, acquire, and implement major prototype and developmental systems, or to make extensive modifications and upgrades to existing systems, taking into account changing requirements and interfaces, advances in technology, and evolving standards. Initiates and develops engineering models, operational studies, and tests of interoperability among a wide variety of complex information systems components. Analyzes diverse information systems requirements to develop detailed functional requirements and contract specifications for systems which solve complex or unusual problems. Coordinates with IS Architects, other systems developers, and functional areas within IRS to ensure information systems are properly integrated into the target architecture and transition plans. 
Provides advice and counsel to executive level managers on major IS technical issues. Consults and collaborates with other international experts from industry and other governments to develop IS policies and directions; represents IRS and the U.S. in national and international technical committees and consortia as a speaker and participant; and provides counsel on IS development to technical experts of other national governments. Considered a technical expert in his/her field of expertise and is often sought after by internal authorities for consultations, advice and guidance in the field of electronics communications and computer systems architecture. 
 
Initiates, directs, or conducts pioneering engineering or information systems studies which solve major, unexplored issues across several engineering/information systems disciplines.",U S Citizenship required,1/12/55,9/13/10,1
Full Time,Fulltime - Project Manager / Systems Integrator,"Connect to GXS and Connect to the World!
With more than 2800 employees and operations in 20 different countries, GXS offers endless opportunities to learn, grow and succeed with one of the nation;s fastest-growing private companies. Bring us your talent, energy and drive and become a star player on our winning team!


GXS is seeking a Systems Integrator / Project Manager for our Financial Services organization. The role entails the management of Managed Services and TGMS project implementations for GXS client Citi within the Solutions Delivery Team. To succeed, the Project Manager must have client facing experience, demonstrated a high level of success in delivering mid-large scale IT projects, and have experience in working closely with clients to build an effective partnership. The Systems Integrator / Project Manager uses best practice methodologies, processes, and tools to provide committed GXS services. This job is open to college/entry-level candidates as well.
 

Day-to-day responsibilities to include:

Managing a structured project management process/methodology, improve upon defined practicesby developing and implementing documentation for all project phases.
Improve effectiveness of the project and efficiently meet and manage client objectives and expectations.
Manage to a defined project budget and develop project milestone reviews.
Outline top down and bottom up deliverables and acceptance criteria; beginning with the ultimate output of the project and working into the details to see how to produce the most effective output for the client and or organization.
Manage the resolution of risks, including taking a lead role in organizing inter-departmental meetings to resolve customer issues and drive cross-functional issues to closure.
Formulates and takes corrective actions to mitigate deviations to the project plans.
Manage relationships with clients and staff in the sales, IT, operations organization.
Provide technology and business consultation and work closely to align technology planning with clients.
Correctly set operational expectations with customers.
Provide reporting support for client and organizational leaders.
Provide strong business acumen and execute project solutions.
Manage scheduling, cost control and changes.



Job Requirements: 


Required Skills, Experience, & Knowledge:

2 - 5 years of Project/Program Management experience preferred
Experience running mid - large projects (5 - 10 resources, 12+ months, $150K - $500K+)-global project management experience a plus
2 - 5 years of managed file transfer delivery experience preferred
2 - 5 years of Customer/Client Facing experience preferred
Recent graduates with strong technical backgrounds may be considered
Experience managing delivery using the Systems Development Life Cycle (SDLC)
Dynamic Problem Solver with customer focus
Ability to motivate a team to meet tight project timelines
Ability to gain and maintain trust and respect of clients
Fluent with Microsoft Project & Project Task planning & dependencies
Supervisory experience (managing other internal resources to meet project requirements)
Deep experience in project status & financial reporting
Must have very strong interpersonal skills including a demonstrated ability to partner with others, and be able manage complex relationships, as well as detail-oriented
Bachelor;s Degree in Business, Computer Science or related field
PMP Certification a plus
Bilingual - English and Spanish a plus.

Traits/Characteristics 

1) Must be able to manage through complex problems.

2) Must be a fast learner and have a consultative approach with client interactions.

3) Must be a mature thinker & be comfortable asking others for help.

4) Self starter.


GXS is a leading B2B integration services provider and operates the world;s largest integration cloud, GXS Trading Grid&#194;&#174;. We help our customers extend their partner networks, automate receiving processes, manage electronic payments and improve supply chain visibility. Servicing more than 550,000 businesses, including two-thirds of the Fortune 500 and 22 of the top 25 supply chains, we are valued as the world;s #1 B2B Integration Services Company and recently named to the Inc. 5000.

To Learn More:
www.gxs.com
www.linkedin.com/company/gxs
www.twitter.com/gxs",,2/3/55,5/22/13,1
Full Time,061 ft Precision Mechanical Technology Center Manufacturing,"Contribute to making the world a better place by accelerating the development/deployment of digital, communications, RF and microwave technologies and products. In our Santa Rosa, California facility located 50 miles north of San Francisco in the beautiful wine country you will work with a team of engineers developing next generation precision fabrication technology.

As a engineer in the Precision Mechanical Technology Center you will be responsible for supporting fabrication of precision components used in RF, microwave, photonic and chemical analysis applications. You will support both our internal manufacturing facility as well as North American suppliers providing both production as well as prototype engineering service. 

You will be counted on to develop/improve products & processes. Through project work and process ownership you will become a key resource working in conjunction with a cross functional team including production, procurement, finance and R&D. Our customer base is worldwide and you will have the opportunity to interface with our customers across the globe on a daily basis.","Mechanical Engineering/Materials Science degree or equivalent 
Completion of coursework in precision engineering or metrology 
Practical &#147;hands on&#148; experience with machine tool technology 
Experience with or knowledge of CAD, CAM systems 
Experience with or knowledge of functional rapid prototyping methodologies 
Experience supporting low volume, high mix manufacturing 

Agilent will not sponsor work authorization for this position.",12/3/54,10/24/06,1
Full Time,Vending Coordinator - PepsiAmericas Inc.,"The primary responsibilities for this position are as follows:

Generate & schedule divisional Equipment movements in VMMS.  Disperse schedules to MES's daily 
Confirm completed EMO's 
Key Internal Time sheets for division 
Review all reports sent by Asset Management and communicate any discrepancies to Accounting Coordinator 
Divisional Asset Physical Inventory is to be keyed every period 
Develop PEL scorecard for division. Reconcile throughout the period 
Manage budget as it relates to equipment write-offs 
Track all equipment disposals & reconcile with Asset Management 
Sudden Service tracking 
PCNA Parts tracking 
Track all BIV forms sent by PCNA 
PM tracking 
Reconcile all payments from PCNA & scorecard 
Weekly reporting to division 
Maintain close communication with MEM on all budget restraints 
Fax carry-over reports to division daily 
Gather reporting tools for MEM per request 
Answer phone, take messages and send reports in MEM absence 
Maintain constant communication with MEM, MES, and PCNA 
Assist all internal & external customers upon request","For successful performance in this position, the incumbent must possess a High School Diploma or GED and 4+ years administrative experience. Exceptional skills in Microsoft Word, Excel, PowerPoint and Outlook.  Great written, verbal communication and organization skills are required.  The incumbent must be detail-oriented, able to multi-task and work in a fast-paced and rapidly changing environment.

 

Commitment to excellence in customer service 
Proficient written and oral communications skills and the demonstrated ability to clearly, concisely, and persuasively communicate oral and written messages consistent with company policy to both internal and external audiences, using appropriate tone, grammar, and word usage. 
Excellent data entry and clerical skills, including 10-key and computer keyboarding skills, proficiency in using financial information system applications (PeopleSoft), basic math skills, and ability to operate common office equipment (fax machine, photocopier, telephone) 
Proficient use of basic business software (Microsoft Excel, Word, etc.) including the ability to create and manipulate spreadsheets.",12/4/54,1/15/07,0
Full Time,101 ft Associate Director of Medicaid and Safety Net Products,"JOB TITLE:  ;Associate Director of Medicaid and Safety Net Products
REPORTS TO:  VP Medicaid and Safety Net Products
STATUS:  ;Full-time, Exempt
LOCATION:  ;Rochester or Schenectady

JOB SUMMARY:
Under the direction of the VP Medicaid and Safety Net Products:
The Associate Director of Medicaid and Safety Net Products serves as the primary liaison within the Safety Net SBU for operational issues and compliance, provides oversight and coordination of corporate resources allocated to Medicaid and Safety Net Product operations, provides for ongoing oversight and maintenance on existing SBU products as well as the operational implementation of new products and benefits, expansion projects, and consulting assistance with complicated contract issues.  
In addition, the Associate Director reviews Medicaid and Safety Net product contracts/ handbooks, and works with the MVP Legal Department to keep them updated and compliant.  Understands and communicates details of Medicaid and Safety Net Products contractual provisions to MVP staff.  Develops & maintains SBU policies, serves as the primary resource for coordination of annual SBU audits and surveys and works with internal departments to coordinate plan reporting responses, ensuring compliance with all State regulations.  Serves as primary liaison to NY State Departments of Health and Insurance, Maximus, and Local Departments of Social Services addressing any issues related to MVP;s provision of SBU services.  Manages operational staff of the Medicaid SBU Dept, providing daily direction and supervision, as well as orientation, training, performance appraisal, counseling and disciplinary action, as needed, in conjunction with Human Resources.  Maintains visibility in the community through active participation in civic, business and charitable organizations.  Performs other duties as assigned. 


MVP is an Equal Opportunity/Affirmative Action Employer.","Minimum Education:  Bachelor's degree in relevant business, health care or a related field required. MBA or advanced degree a plus. 
Minimum Experience: At least 6 years experience in managed care.  At least three years experience in an administrative capacity with Government Program or Safety Net products.  At least 3 years management experience
Required Skills:
Excellent written communication and interpersonal skills. 
Demonstrated ability to work independently and develop relationships that advance product;s business needs.
Excellent computer skills. 
Must be willing to travel. 
Demonstrated management experience in a matrix environment.
Preferred Skills:
Experience working with Medicaid, Family Health Plus and Child Health Plus programs.
Experience working with Facets and Macess. 
Excellent working knowledge of regulatory and eligibility requirements for Medicaid, Family Health Plus, Child Health Plus and other Safety Net Products",1/12/55,9/2/10,1
